,編號,案類,發生日期,發生時段,發生地點,tokenizer,time_zone
1019,1020,住宅竊盜,1050705,06~08,臺北市內湖區民權東路6段90巷15弄1~30號,['臺  北市  內  湖區民權  東路  6  段  90  巷  15  弄  1  ~  30  號'],morning
1020,1021,住宅竊盜,1050705,08~10,臺北市士林區蘭興里克強路10巷9弄1~30號,['臺  北市  士林  區蘭興  里克  強路  10  巷  9  弄  1  ~  30  號'],morning
1021,1022,住宅竊盜,1050705,08~10,臺北市北投區湖田里竹子湖路1~30號,['臺  北  市北  投區  湖  田里  竹子湖  路  1  ~  30  號'],morning
1022,1023,住宅竊盜,1050705,08~10,臺北市北投區湖田里竹子湖路1~30號,['臺  北  市北  投區  湖  田里  竹子湖  路  1  ~  30  號'],morning
1026,1027,住宅竊盜,1050706,06~08,臺北市中山區龍江路391~420號,['臺  北市  中山  區龍江路  391  ~  420  號'],morning
1027,1028,住宅竊盜,1050706,08~10,臺北市士林區天和里中山北路7段190巷31~60號,['臺  北市  士林  區天  和  里  中山北路  7  段  190  巷  31  ~  60  號'],morning
1030,1031,住宅竊盜,1050709,10~12,臺北市大同區朝陽里天水路31~60號,['臺  北市  大同  區朝陽里  天  水路  31  ~  60  號'],morning
1031,1032,住宅竊盜,1050710,10~12,臺北市松山區敦化北路222巷1~30號,['臺  北市  松山  區  敦化北路  222  巷  1  ~  30  號'],morning
1032,1033,住宅竊盜,1050710,10~12,臺北市松山區健康路391~420號,['臺  北市  松山  區  健康  路  391  ~  420  號'],morning
1042,1043,住宅竊盜,1050717,10~12,臺北市中山區中山北路3段55巷1~30號,['臺  北市  中山  區  中山北路  3  段  55  巷  1  ~  30  號'],morning
1049,1050,住宅竊盜,1050722,08~10,臺北市內湖區(潭美街211~240號,['臺  北市  內  湖區  (  潭  美街  211  ~  240  號'],morning
1058,1059,住宅竊盜,1050728,08~10,臺北市南港區成福里成福路121巷1~30號,['臺  北市  南港  區  成福  里  成福  路  121  巷  1  ~  30  號'],morning
1065,1066,住宅竊盜,1050801,10~12,臺北市北投區公館路209巷38弄1~30號,['臺  北  市北  投區  公館  路  209  巷  38  弄  1  ~  30  號'],morning
1068,1069,住宅竊盜,1050802,06~08,臺北市士林區天玉里5鄰天母北路1~30號,['臺  北市  士林  區天玉里  5  鄰  天母  北路  1  ~  30  號'],morning
1069,1070,住宅竊盜,1050802,06~08,臺北市中山區撫順街1~30號,['臺  北市  中山  區撫  順街  1  ~  30  號'],morning
1070,1071,住宅竊盜,1050805,06~08,臺北市信義區三犁里松勤街140巷1~30號,['臺  北市  信義區  三犁里  松勤  街  140  巷  1  ~  30  號'],morning
1077,1078,住宅竊盜,1050809,06~08,臺北市信義區景聯里基隆路2段79巷1~30號,['臺  北市  信義區  景聯里  基隆  路  2  段  79  巷  1  ~  30  號'],morning
1089,1090,住宅竊盜,1050815,10~12,臺北市中山區合江街91~120號,['臺  北市  中山  區  合江  街  91  ~  120  號'],morning
1096,1097,住宅竊盜,1050819,06~08,臺北市內湖區東湖里康樂街48巷1~30號,['臺  北市  內  湖區  東  湖里  康樂街  48  巷  1  ~  30  號'],morning
1103,1104,住宅竊盜,1050823,08~10,臺北市南港區中研里研究院路2段70巷17弄1~30號,['臺  北市  南港  區中  研里  研究院  路  2  段  70  巷  17  弄  1  ~  30  號'],morning
1105,1106,住宅竊盜,1050824,06~08,臺北市士林區翠山里中社路1段11巷91~120號,['臺  北市  士林  區翠  山里  中  社路  1  段  11  巷  91  ~  120  號'],morning
1108,1109,住宅竊盜,1050826,06~08,臺北市內湖區明湖里4鄰康寧路3段165巷23弄1~30號,['臺  北市  內  湖區明  湖里  4  鄰康寧路  3  段  165  巷  23  弄  1  ~  30  號'],morning
1113,1114,住宅竊盜,1050828,08~10,臺北市信義區正和里仁愛路4段511~540號,['臺  北市  信義區  正  和  里  仁愛路  4  段  511  ~  540  號'],morning
1124,1125,住宅竊盜,1050901,06~08,臺北市南港區九如里研究院路3段68巷1~30號,['臺  北市  南港  區九如里  研究院  路  3  段  68  巷  1  ~  30  號'],morning
1125,1126,住宅竊盜,1050901,08~10,臺北市大安區民輝里新生南路1段103巷1~30號,['臺  北市  大安  區民輝  里  新生南路  1  段  103  巷  1  ~  30  號'],morning
1127,1128,住宅竊盜,1050902,08~10,臺北市南港區百福里福德街339巷1弄1~30號,['臺  北市  南港  區百福里  福德街  339  巷  1  弄  1  ~  30  號'],morning
1128,1129,住宅竊盜,1050902,08~10,臺北市文山區木柵里018鄰秀明路1段61~90號,['臺  北市  文山  區木柵里  018  鄰秀  明路  1  段  61  ~  90  號'],morning
1132,1133,住宅竊盜,1050904,10~12,臺北市內湖區五分里23鄰康寧路3段265巷31~60號,['臺  北市  內  湖區  五分  里  23  鄰康寧路  3  段  265  巷  31  ~  60  號'],morning
1135,1136,住宅竊盜,1050908,10~12,臺北市北投區致遠二路5巷1~30號,['臺  北  市北  投區  致遠  二路  5  巷  1  ~  30  號'],morning
1140,1141,住宅竊盜,1050914,08~10,臺北市文山區景美里萬慶街31~60號,['臺  北市  文山  區  景美  里  萬慶街  31  ~  60  號'],morning
1147,1148,住宅竊盜,1050918,10~12,臺北市信義區大道里大道路61~90號,['臺  北市  信義區  大道  里  大  道路  61  ~  90  號'],morning
1150,1151,住宅竊盜,1050919,08~10,臺北市信義區長春里虎林街104巷140弄1~30號,['臺  北市  信義區  長  春里  虎林  街  104  巷  140  弄  1  ~  30  號'],morning
1163,1164,住宅竊盜,1050923,10~12,臺北市大安區誠安里安東街1~30號,['臺  北市  大安  區誠安  里安  東街  1  ~  30  號'],morning
1164,1165,住宅竊盜,1050924,08~10,臺北市信義區信義路1段151~180號,['臺  北市  信義區  信義路  1  段  151  ~  180  號'],morning
1166,1167,住宅竊盜,1050925,10~12,臺北市松山區光復南路58巷1~30號,['臺  北市  松山  區光  復  南路  58  巷  1  ~  30  號'],morning
1169,1170,住宅竊盜,1050928,10~12,臺北市大安區通安里信義路4段241~270號,['臺  北市  大安  區通安里  信義路  4  段  241  ~  270  號'],morning
1171,1172,住宅竊盜,1050929,10~12,臺北市北投區建民里文林北路94巷5弄1~30號,['臺  北  市北  投區  建民里  文林  北路  94  巷  5  弄  1  ~  30  號'],morning
1175,1176,住宅竊盜,1051002,06~08,臺北市南港區舊莊里舊莊街2段151~180號,['臺  北市  南港  區舊  莊里  舊  莊街  2  段  151  ~  180  號'],morning
1176,1177,住宅竊盜,1051002,08~10,臺北市南港區鴻福里玉成街241~270號,['臺  北市  南港  區鴻福里  玉成  街  241  ~  270  號'],morning
1182,1183,住宅竊盜,1051006,06~08,臺北市內湖區金瑞里5鄰內湖路3段187巷31~60號,['臺  北市  內  湖區  金瑞里  5  鄰內  湖路  3  段  187  巷  31  ~  60  號'],morning
1184,1185,住宅竊盜,1051007,10~12,臺北市松山區新東街20巷1~30號,['臺  北市  松山  區新  東街  20  巷  1  ~  30  號'],morning
1185,1186,住宅竊盜,1051007,10~12,臺北市萬華區廣州街181~210號,['臺  北市  萬華區  廣州  街  181  ~  210  號'],morning
1190,1191,住宅竊盜,1051009,08~10,臺北市中山區民族東路391~420號,['臺  北市  中山  區  民族  東路  391  ~  420  號'],morning
1192,1193,住宅竊盜,1051011,06~08,臺北市信義區四育里虎林街30巷1~30號,['臺  北市  信義區  四育里  虎林  街  30  巷  1  ~  30  號'],morning
1193,1194,住宅竊盜,1051011,08~10,臺北市中正區文盛里汀州路3段91~120號,['臺  北市  中正  區文盛里  汀州  路  3  段  91  ~  120  號'],morning
1194,1195,住宅竊盜,1051011,10~12,臺北市萬華區青年路1~30號,['臺  北市  萬華區  青年  路  1  ~  30  號'],morning
1195,1196,住宅竊盜,1051012,10~12,臺北市萬華區康定路25巷35弄1~30號,['臺  北市  萬華區  康定路  25  巷  35  弄  1  ~  30  號'],morning
1196,1197,住宅竊盜,1051014,08~10,臺北市北投區東華里致遠三路61~90號,['臺  北  市北  投區  東華里  致遠  三路  61  ~  90  號'],morning
1198,1199,住宅竊盜,1051015,10~12,臺北市內湖區康樂街48巷1~30號,['臺  北市  內  湖區  康樂街  48  巷  1  ~  30  號'],morning
1202,1203,住宅竊盜,1051017,08~10,臺北市士林區福華里承德路4段40巷31~60號,['臺  北市  士林  區福華里  承德路  4  段  40  巷  31  ~  60  號'],morning
1203,1204,住宅竊盜,1051017,10~12,臺北市萬華區和平西路3段302巷3弄31~60號,['臺  北市  萬華區  和平西路  3  段  302  巷  3  弄  31  ~  60  號'],morning
1207,1208,住宅竊盜,1051018,10~12,臺北市大安區光信里信義路4段265巷21弄1~30號,['臺  北市  大安  區光  信里  信義路  4  段  265  巷  21  弄  1  ~  30  號'],morning
1213,1214,住宅竊盜,1051021,10~12,臺北市士林區天和里14鄰中山北路7段114巷31~60號,['臺  北市  士林  區天  和  里  14  鄰  中山北路  7  段  114  巷  31  ~  60  號'],morning
1214,1215,住宅竊盜,1051021,10~12,臺北市中山區北安路630巷25弄1~30號,['臺  北市  中山  區  北安路  630  巷  25  弄  1  ~  30  號'],morning
1217,1218,住宅竊盜,1051023,06~08,臺北市松山區八德路5段601~630號,['臺  北市  松山  區  八德  路  5  段  601  ~  630  號'],morning
1218,1219,住宅竊盜,1051023,10~12,臺北市士林區福華里18鄰通河街325巷1~30號,['臺  北市  士林  區福華里  18  鄰  通河  街  325  巷  1  ~  30  號'],morning
1227,1228,住宅竊盜,1051028,06~08,臺北市士林區社新里8鄰社子街63巷1~30號,['臺  北市  士林  區社  新里  8  鄰  社子  街  63  巷  1  ~  30  號'],morning
1228,1229,住宅竊盜,1051028,10~12,臺北市大安區龍泉里師大路39巷1~30號,['臺  北市  大安  區龍泉里師  大路  39  巷  1  ~  30  號'],morning
1229,1230,住宅竊盜,1051028,10~12,臺北市大安區光信里信義路4段265巷21弄1~30號,['臺  北市  大安  區光  信里  信義路  4  段  265  巷  21  弄  1  ~  30  號'],morning
1237,1238,住宅竊盜,1051031,08~10,臺北市松山區光復北路11巷91~120號,['臺  北市  松山  區光  復  北路  11  巷  91  ~  120  號'],morning
1238,1239,住宅竊盜,1051031,10~12,臺北市中正區林興里水源路33巷1~30號,['臺  北市  中正  區林興里  水源路  33  巷  1  ~  30  號'],morning
1242,1243,住宅竊盜,1051101,08~10,臺北市內湖區康樂街72巷17弄1~30號,['臺  北市  內  湖區  康樂街  72  巷  17  弄  1  ~  30  號'],morning
1243,1244,住宅竊盜,1051101,10~12,臺北市中正區南福里羅斯福路2段61~90號,['臺  北市  中正  區南  福里羅斯福路  2  段  61  ~  90  號'],morning
1244,1245,住宅竊盜,1051101,10~12,臺北市北投區尊賢里尊賢街230巷1~30號,['臺  北  市北  投區  尊賢里  尊賢街  230  巷  1  ~  30  號'],morning
1246,1247,住宅竊盜,1051104,10~12,臺北市北投區智仁里中和街525巷8弄1~30號,['臺  北  市北  投區  智仁里  中  和  街  525  巷  8  弄  1  ~  30  號'],morning
1249,1250,住宅竊盜,1051105,10~12,臺北市士林區聖山里芝玉路211~240號,['臺  北市  士林  區聖  山里  芝玉路  211  ~  240  號'],morning
1251,1252,住宅竊盜,1051106,06~08,臺北市松山區撫遠街369巷1~30號,['臺  北市  松山  區撫  遠街  369  巷  1  ~  30  號'],morning
1252,1253,住宅竊盜,1051106,10~12,臺北市松山區八德路2段437巷10弄1~30號,['臺  北市  松山  區  八德  路  2  段  437  巷  10  弄  1  ~  30  號'],morning
1259,1260,住宅竊盜,1051110,06~08,臺北市大安區民輝里新生南路1段97巷31~60號,['臺  北市  大安  區民輝  里  新生南路  1  段  97  巷  31  ~  60  號'],morning
1266,1267,住宅竊盜,1051113,10~12,臺北市中正區富水里思源街1~30號,['臺  北市  中正  區  富水  里  思源  街  1  ~  30  號'],morning
1267,1268,住宅竊盜,1051113,10~12,臺北市文山區萬盛里萬盛街91~120號,['臺  北市  文山  區萬盛里  萬盛街  91  ~  120  號'],morning
1273,1274,住宅竊盜,1051118,10~12,臺北市松山區撫遠街369巷1~30號,['臺  北市  松山  區撫  遠街  369  巷  1  ~  30  號'],morning
1276,1277,住宅竊盜,1051120,08~10,臺北市中山區龍江路394巷1~30號,['臺  北市  中山  區龍江路  394  巷  1  ~  30  號'],morning
1281,1282,住宅竊盜,1051122,06~08,臺北市內湖區康樂街72巷17弄151~180號,['臺  北市  內  湖區  康樂街  72  巷  17  弄  151  ~  180  號'],morning
1286,1287,住宅竊盜,1051124,08~10,臺北市大同區光能里赤峰街12巷1~30號,['臺  北市  大同  區光能  里  赤峰  街  12  巷  1  ~  30  號'],morning
1287,1288,住宅竊盜,1051124,10~12,臺北市松山區松河街1~30號,['臺  北市  松山  區松  河街  1  ~  30  號'],morning
1292,1293,住宅竊盜,1051127,08~10,臺北市北投區桃源里中央北路3段40巷31~60號,['臺  北  市北  投區  桃源  里  中央  北路  3  段  40  巷  31  ~  60  號'],morning
1294,1295,住宅竊盜,1051128,08~10,臺北市萬華區德昌街154巷1~30號,['臺  北市  萬華區  德昌  街  154  巷  1  ~  30  號'],morning
1295,1296,住宅竊盜,1051128,10~12,臺北市松山區南京東路5段66巷22弄1~30號,['臺  北市  松山  區  南京  東路  5  段  66  巷  22  弄  1  ~  30  號'],morning
1298,1299,住宅竊盜,1051129,06~08,臺北市萬華區富福里中華路2段1~30號,['臺  北市  萬華區  富福里  中華路  2  段  1  ~  30  號'],morning
1301,1302,住宅竊盜,1051201,06~08,臺北市大同區建明里重慶北路1段1~30號,['臺  北市  大同  區建  明里  重慶  北路  1  段  1  ~  30  號'],morning
1302,1303,住宅竊盜,1051201,08~10,臺北市中山區新生北路2段61~90號,['臺  北市  中山  區  新生北路  2  段  61  ~  90  號'],morning
1307,1308,住宅竊盜,1051204,08~10,臺北市松山區撫遠街255巷1~30號,['臺  北市  松山  區撫  遠街  255  巷  1  ~  30  號'],morning
1312,1313,住宅竊盜,1051207,10~12,臺北市內湖區內湖路1段359巷1~30號,['臺  北市  內  湖區  內  湖路  1  段  359  巷  1  ~  30  號'],morning
1325,1326,住宅竊盜,1051217,08~10,臺北市內湖區民權東路6段151~180號,['臺  北市  內  湖區民權  東路  6  段  151  ~  180  號'],morning
1329,1330,住宅竊盜,1051220,06~08,臺北市內湖區民權東路六段190巷1~30號,['臺  北市  內  湖區民權  東路  六段  190  巷  1  ~  30  號'],morning
1338,1339,住宅竊盜,1051225,10~12,臺北市士林區天玉里天母北路1~30號,['臺  北市  士林  區天玉里  天母  北路  1  ~  30  號'],morning
1339,1340,住宅竊盜,1051225,10~12,臺北市萬華區萬大路486巷10弄1~30號,['臺  北市  萬華區  萬  大路  486  巷  10  弄  1  ~  30  號'],morning
1342,1343,住宅竊盜,1051226,08~10,臺北市中山區中山北路1段121巷1~30號,['臺  北市  中山  區  中山北路  1  段  121  巷  1  ~  30  號'],morning
1349,1350,住宅竊盜,1051230,08~10,臺北市文山區興業里1鄰興隆路2段154巷1~30號,['臺  北市  文山  區興業  里  1  鄰興  隆路  2  段  154  巷  1  ~  30  號'],morning
1359,1360,住宅竊盜,1060104,06~08,臺北市南港區中南里忠孝東路7段631~660號,['臺  北市  南港  區  中南  里  忠孝  東路  7  段  631  ~  660  號'],morning
1377,1378,住宅竊盜,1060117,06~08,臺北市中正區南福里羅斯福路1段58巷17弄1~30號,['臺  北市  中正  區南  福里羅斯福路  1  段  58  巷  17  弄  1  ~  30  號'],morning
1378,1379,住宅竊盜,1060117,08~10,臺北市大安區車層里忠孝東路4段216巷27弄1~30號,['臺  北市  大安  區車  層里  忠孝  東路  4  段  216  巷  27  弄  1  ~  30  號'],morning
1383,1384,住宅竊盜,1060121,08~10,臺北市文山區萬年里羅斯福路5段212巷1~30號,['臺  北市  文山  區萬年  里羅斯福路  5  段  212  巷  1  ~  30  號'],morning
1403,1404,住宅竊盜,1060202,08~10,臺北市中正區永功里汀州路1段271~300號,['臺  北市  中正  區永功  里  汀州  路  1  段  271  ~  300  號'],morning
1413,1414,住宅竊盜,1060208,06~08,臺北市文山區萬美里010鄰萬美街1段91~120號,['臺  北市  文山  區萬美里  010  鄰萬美街  1  段  91  ~  120  號'],morning
1414,1415,住宅竊盜,1060208,06~08,臺北市中山區安東街16巷31~60號,['臺  北市  中山  區安東  街  16  巷  31  ~  60  號'],morning
1415,1416,住宅竊盜,1060208,08~10,臺北市中山區民權東路3段75巷2弄1~30號,['臺  北市  中山  區民權  東路  3  段  75  巷  2  弄  1  ~  30  號'],morning
1416,1417,住宅竊盜,1060208,08~10,臺北市大安區和安里建國南路1段301~330號,['臺  北市  大安  區和安里  建國  南路  1  段  301  ~  330  號'],morning
1418,1419,住宅竊盜,1060209,06~08,臺北市中正區忠勤里中華路2段315巷4弄1~30號,['臺  北市  中正  區忠勤  里  中華路  2  段  315  巷  4  弄  1  ~  30  號'],morning
1419,1420,住宅竊盜,1060210,08~10,臺北市萬華區萬大路187巷1弄1~30號,['臺  北市  萬華區  萬  大路  187  巷  1  弄  1  ~  30  號'],morning
1420,1421,住宅竊盜,1060210,08~10,臺北市中山區建國北路3段91~120號,['臺  北市  中山  區建國  北路  3  段  91  ~  120  號'],morning
1421,1422,住宅竊盜,1060211,10~12,臺北市中正區南福里重慶南路3段1~30號,['臺  北市  中正  區南福里  重慶  南路  3  段  1  ~  30  號'],morning
1428,1429,住宅竊盜,1060216,06~08,臺北市大同區星明里民生西路178巷1~30號,['臺  北市  大同  區星  明里  民生西路  178  巷  1  ~  30  號'],morning
1432,1433,住宅竊盜,1060221,06~08,臺北市文山區木柵路5段61~90號,['臺  北市  文山  區木柵路  5  段  61  ~  90  號'],morning
1443,1444,住宅竊盜,1060225,10~12,臺北市內湖區安康路226巷1~30號,['臺  北市  內  湖區  安康路  226  巷  1  ~  30  號'],morning
1449,1450,住宅竊盜,1060301,10~12,臺北市萬華區成都路76巷1~30號,['臺  北市  萬華區  成都路  76  巷  1  ~  30  號'],morning
1460,1461,住宅竊盜,1060313,10~12,臺北市內湖區內湖路2段253巷2弄1~30號,['臺  北市  內  湖區  內  湖路  2  段  253  巷  2  弄  1  ~  30  號'],morning
1462,1463,住宅竊盜,1060314,10~12,臺北市士林區永倫里永平街75巷31~60號,['臺  北市  士林  區永倫里  永平  街  75  巷  31  ~  60  號'],morning
1463,1464,住宅竊盜,1060315,08~10,臺北市萬華區峨眉街91~120號,['臺  北市  萬華區  峨眉  街  91  ~  120  號'],morning
1466,1467,住宅竊盜,1060316,10~12,臺北市大安區群英里四維路170巷31~60號,['臺  北市  大安  區  群英  里  四維路  170  巷  31  ~  60  號'],morning
1470,1471,住宅竊盜,1060318,10~12,臺北市北投區奇岩里公?路340巷1~30號,['臺  北  市北  投區  奇岩  里公  ?  路  340  巷  1  ~  30  號'],morning
1471,1472,住宅竊盜,1060319,06~08,臺北市士林區名山里1鄰至誠路1段301~330號,['臺  北市  士林  區  名山  里  1  鄰至  誠路  1  段  301  ~  330  號'],morning
1472,1473,住宅竊盜,1060320,06~08,臺北市中山區林森北路91~120號,['臺  北市  中山  區  林森北路  91  ~  120  號'],morning
1473,1474,住宅竊盜,1060320,10~12,臺北市信義區長春里虎林街108巷31~60號,['臺  北市  信義區  長  春里  虎林  街  108  巷  31  ~  60  號'],morning
1476,1477,住宅竊盜,1060321,10~12,臺北市松山區三民路74巷1~30號,['臺  北市  松山  區  三民路  74  巷  1  ~  30  號'],morning
1479,1480,住宅竊盜,1060322,10~12,臺北市松山區健康路325巷25弄1~30號,['臺  北市  松山  區  健康  路  325  巷  25  弄  1  ~  30  號'],morning
1480,1481,住宅竊盜,1060322,10~12,臺北市松山區健康路325巷25弄1~30號,['臺  北市  松山  區  健康  路  325  巷  25  弄  1  ~  30  號'],morning
1481,1482,住宅竊盜,1060323,06~08,臺北市北投區立農里吉利街257巷5弄1~30號,['臺  北  市北  投區立  農里  吉利  街  257  巷  5  弄  1  ~  30  號'],morning
1484,1485,住宅竊盜,1060325,08~10,臺北市內湖區內湖路3段59巷7弄1~30號,['臺  北市  內  湖區  內  湖路  3  段  59  巷  7  弄  1  ~  30  號'],morning
1485,1486,住宅竊盜,1060326,06~08,臺北市內湖區內湖路2段179巷63弄1~30號,['臺  北市  內  湖區  內  湖路  2  段  179  巷  63  弄  1  ~  30  號'],morning
1486,1487,住宅竊盜,1060326,10~12,臺北市士林區社新里4鄰延平北路6段121~150號,['臺  北市  士林  區社  新里  4  鄰  延平北路  6  段  121  ~  150  號'],morning
1490,1491,住宅竊盜,1060328,08~10,臺北市大同區鄰江里迪化街2段296巷1~30號,['臺  北市  大同  區鄰  江里  迪化街  2  段  296  巷  1  ~  30  號'],morning
1501,1502,住宅竊盜,1060405,10~12,臺北市松山區新東街51巷1~30號,['臺  北市  松山  區新  東街  51  巷  1  ~  30  號'],morning
1503,1504,住宅竊盜,1060406,08~10,臺北市大安區華聲里光復南路180巷31~60號,['臺  北市  大安  區華聲  里  光  復  南路  180  巷  31  ~  60  號'],morning
1506,1507,住宅竊盜,1060409,06~08,臺北市北投區清江里清江路1~30號,['臺  北  市北  投區  清江  里  清江  路  1  ~  30  號'],morning
1508,1509,住宅竊盜,1060410,06~08,臺北市北投區稻香里新興路121~150號,['臺  北  市北  投區  稻香  里  新興路  121  ~  150  號'],morning
1510,1511,住宅竊盜,1060412,06~08,臺北市士林區陽明里中庸一路1~30號,['臺  北市  士林  區陽  明里  中庸  一路  1  ~  30  號'],morning
1521,1522,住宅竊盜,1060418,08~10,臺北市中山區新生北路2段137巷31~60號,['臺  北市  中山  區  新生北路  2  段  137  巷  31  ~  60  號'],morning
1525,1526,住宅竊盜,1060420,08~10,臺北市大同區建功里重慶北路1段1~30號,['臺  北市  大同  區  建功  里  重慶  北路  1  段  1  ~  30  號'],morning
1526,1527,住宅竊盜,1060420,08~10,臺北市大同區建功里重慶北路1段1~30號,['臺  北市  大同  區  建功  里  重慶  北路  1  段  1  ~  30  號'],morning
1527,1528,住宅竊盜,1060420,10~12,臺北市內湖區星雲街33巷27弄1~30號,['臺  北市  內  湖區  星雲街  33  巷  27  弄  1  ~  30  號'],morning
1531,1532,住宅竊盜,1060422,08~10,臺北市南港區成福里成福路121巷56弄1~30號,['臺  北市  南港  區  成福  里  成福  路  121  巷  56  弄  1  ~  30  號'],morning
1542,1543,住宅竊盜,1060426,06~08,臺北市北投區立賢里尊賢街239巷1~30號,['臺  北  市北  投區  立賢里  尊賢街  239  巷  1  ~  30  號'],morning
1543,1544,住宅竊盜,1060426,10~12,臺北市士林區舊佳里前街125巷1~30號,['臺  北市  士林  區舊  佳里  前  街  125  巷  1  ~  30  號'],morning
1546,1547,住宅竊盜,1060427,10~12,臺北市士林區富洲里延平北路8段181~210號,['臺  北市  士林  區富洲  里  延平北路  8  段  181  ~  210  號'],morning
1553,1554,住宅竊盜,1060501,10~12,臺北市松山區復興南路1段31~60號,['臺  北市  松山  區  復  興  南路  1  段  31  ~  60  號'],morning
1555,1556,住宅竊盜,1060502,06~08,臺北市內湖區碧山里內湖路3段60巷12弄1~30號,['臺  北市  內  湖區  碧  山里  內  湖路  3  段  60  巷  12  弄  1  ~  30  號'],morning
1556,1557,住宅竊盜,1060502,10~12,臺北市大同區玉泉里忠孝西路2段1~30號,['臺  北市  大同  區  玉泉  里  忠孝西路  2  段  1  ~  30  號'],morning
1569,1570,住宅竊盜,1060508,10~12,臺北市中正區頂東里晉江街124巷1~30號,['臺  北市  中正  區頂  東里  晉江街  124  巷  1  ~  30  號'],morning
